Title;Author(s);Year;Master Track;Supervisor;Second reader;Abstract/Summary;Main Research Question;SDG;Justification for SDG;Geographical scope;Scale;Main sector;Keywords;Methodology Type;Specific Methods;Theories;Internship Organization;Organizations Studied;Geographical location standardized;Latitude;Longitude;Location precision;Flag
Success factors for policy translation for Dutch water experts;Niki Quee;2021;Earth Systems Governance;Carel Dieperink, Annisa Triyanti;Hens Runhaar;Deltas cover less than 0.5% of the global land area, but are home to over 500 million people globally. This study explores the success factors for Dutch actors in policy translation, focusing on the Dutch Delta Approach and its application in the Mekong Delta Plan. By conducting fourteen in-depth interviews and analyzing seven policy documents, the research identifies challenges and success factors in the policy translation process. The findings indicate that the translation was partly successful, with key factors including actor relations, conveying ability, and ownership contributing to the success.;What are the success factors for Dutch actors in the policy translation process of the Dutch Delta Approach to the Mekong Delta Plan?;13 - Climate Action;The study addresses the vulnerabilities of deltas to climate change and the need for effective adaptation strategies, aligning with the goal of taking urgent action to combat climate change and its impacts.;Vietnam, Netherlands;Global/International;Governance & Policy;Policy translation, Policy transfer, Dutch Delta Approach, Vietnamese Mekong Delta, Mekong Delta Plan, Success factors.;Qualitative Empirical Research;In-depth interviews, Document analysis;;;;Vietnam;15.9266657;107.9650855;Country;Abstract too short
Choosing Right: Analysing NGO interventions in sustainably managing forest common pool resources;Anushri Narayan Visweswaran;2021;;Frank van Laerhoven;Carel Dieperink;Forest resources often provide invaluable services to local communities who are dependent on them, especially in the Global South. This thesis describes how NGOs intervene in the collective management of forest common pool resources (CPRs) in the Western Ghats of India. It compares these interventions against scientific literature on successful CPR governance. The study identifies 12 design principles and employs Theory of Change to analyze NGO interventions. Data was collected through semi-structured interviews and document analysis. Findings reveal that NGOs are active in various program areas, restoring ecosystems and building community capacity, but face challenges such as local politics and community reluctance.;How do NGO interventions within forest common pool resources in the Western Ghats compare with scientific literature on successful collective action?;15 - Life on Land;This SDG applies as the thesis focuses on the sustainable management of forest resources, which are critical for biodiversity and ecosystem services.;Western Ghats, India;Local;Ecology & Biodiversity;NGOs, forests, common pool resources, design principles, Western Ghats, India;Qualitative Empirical Research;Semi-structured interviews, document analysis;Theory of Change;;;Western Ghats;10.166;77.058;Region;
Garment Workers’ Ability to Benefit from Digitalization of the Fashion Value Chain;Tessa Boumans;2021;;Dr. Maggi Leung;;This research explores the relationship between digitalization and social sustainability outcomes in the global fashion value chain, focusing on garment workers in the global south. The aim is to understand how digitalization affects their ability to access international workers’ rights. The study outlines the fashion value chain's modus operandi and the status-quo context of garment workers, while analyzing existing data and conducting in-depth interviews with industry actors. Four constructs are identified: making fast fashion faster, transparency and traceability, automation and reshoring, and data privacy and ownership. The findings suggest that while there are potential positive outcomes, the current exploitative system dynamics are likely to lead to disadvantageous outcomes for garment workers.;How does digitalization affect the ability of garment workers in the global south to access their international workers’ rights?;8 - Decent Work and Economic Growth;This SDG applies as the research focuses on the working conditions and rights of garment workers, highlighting the need for decent work opportunities in the context of digitalization.;Global;Global/International;Social Justice & Equity;digitalization, fashion value chain, social sustainability, garment workers in the global south, access to labor rights;Qualitative Empirical Research;In-depth interviews with industry actors;;;Modint, CNV International;;;;Broad;
The Implications of a Reduction in Nitrogen Imports Embedded in Feed for Dutch Dairy Cattle;Lotte Evia Huiberts;2021;Environmental Change and Ecosystems;Dr. Brian Dermody, Prof. Dr. Stefan Dekker;;This thesis investigates the implications of reducing nitrogen imports embedded in feed for Dutch dairy cattle. The aim is to analyze the potential impacts on nitrogen flows within the dairy sector and assess the feasibility of circular agriculture practices. A mixed methods approach is employed, combining scenario analysis with quantitative data on dairy production and nitrogen emissions. The findings indicate that significant reductions in nitrogen imports could lead to improved sustainability in dairy farming, but also highlight challenges related to livestock productivity and feed availability.;What are the implications of a reduction in nitrogen imports embedded in feed for Dutch dairy cattle?;12 - Responsible Consumption and Production;This research aligns with SDG 12 as it addresses sustainable agricultural practices and the reduction of nitrogen imports, which are crucial for responsible consumption and production in the dairy sector.;Netherlands;National;Circular Economy & Production;;Mixed Methods Research;Scenario analysis;;;;Netherlands;52.2434979;5.6343227;Country;Abstract too short
Advancing agroecology through knowledge co-creation: Exploring success conditions to enhance the adoption of agroecological farming practices, illustrated by the case of Chilean wineries;Marcia Arredondo Rivera;2021;Earth Systems Governance;Prof. dr. H.A.C. Runhaar;Dr. ir. D. Hegger;This thesis explores the success conditions in knowledge co-creation processes to enhance the adoption of agroecological farming practices, particularly focusing on scientist-farmer interactions. It identifies three key outputs: co-created knowledge that meets credibility, salience, and legitimacy criteria, the development of social networks, and capacity building. A literature review operationalizes these success conditions within the context of Chilean wineries, providing a conceptual framework that was tested through case analysis. The findings indicate that these conditions are crucial for fostering the adoption of agroecological practices, ultimately contributing to sustainable agricultural systems.;What are success conditions in knowledge co-creation processes that facilitate the adoption of agroecological farming practices, and how can these be assessed in practice?;15 - Life on Land;The research focuses on enhancing agroecological practices which contribute to biodiversity conservation and sustainable land use, aligning with the goals of SDG 15.;Chile;Local;Ecology & Biodiversity;Agroecology, knowledge co-creation processes, success conditions, Chile;Literature-Based Research, Qualitative Empirical Research;Literature review, Case study, Interviews;;;Cono Sur Winery;Colchagua Valley;-34.54958;-71.399395;Broad;Abstract too short
Testing an innovative method to map human-wildlife interactions;Martijn Wessels;2021;;Ine Dorresteijn;Martin Wassen;This thesis examines the potential of a new smart sensor tool to aid in digital conservation within a rewilding context. The research aims to test an innovative method for mapping human-wildlife interactions. A case study was conducted to evaluate the effectiveness of the sensor tool in collecting data on wildlife behavior and interactions. The findings indicate that the smart sensor tool can provide valuable insights into human-wildlife dynamics, contributing to more effective conservation strategies.;;;;;;;;Qualitative Empirical Research;;;SmartParks;PWN;;;;;Missing Research Question, Missing SDG, Abstract too short
Quantifying the costs and reduction potential of mass timber.;Jip Beijers;2021;;Martin Junginger;Li Shen;The building and construction sector was in 2018 responsible for 39% of the global CO2 emissions. Majority of this 39% is linked to the operational energy usage of buildings. As a result of shifting towards buildings with better energy performance, the environmental impact due to construction materials is becoming more relevant. Mass timber, a biobased alternative for high energy intensity materials such as steel and reinforced concrete, can significantly reduce construction material related impacts. This study combines a LCA, LCC and scenario analysis to quantify the costs related to reducing environmental impacts and specifically GWP by constructing a mass timber case house instead of a reference traditional house. The mass timber case house proves to reduce the total environmental score related to 11 impact categories, with 27% compared to a reference traditional case house. The GWP specifically was reduced with 66%.;;;;Netherlands;National;Circular Economy & Production;Mass timber, Timber construction, LCA, DCLA, Biogenic carbon storage, EN 15804, MPG, LCC, Scenario analysis;Literature-Based Research, Mixed Methods Research, Qualitative Empirical Research;LCA, LCC, scenario analysis;;EIB (Economisch Instituut voor de Bouw);;Amsterdam;52.3730796;4.8924534;City;Missing Research Question, Missing SDG
Feasibility of Nuclear Energy in the Energy Mix of the Netherlands;Pim Broekhuizen;2021;Energy & Materials;Gert Jan Kramer;;This research has contributed to the goal of decarbonizing the energy sector. Through the process of decarbonization, all types of electricity generation technologies are re-evaluated. The energy produced must be reliable, affordable, and sustainable. Nuclear energy is proven to be reliable and sustainable, but its affordability is questioned. This research tried to answer this by studying the potential role nuclear energy could play in an energy mix where and when solar, wind and, green hydrogen dominate. It was concluded that with the introduction of nuclear energy in the system, the potential production of hydrogen as an ESS was higher compared to a system without nuclear energy.;;7 - Affordable and Clean Energy;The research focuses on the role of nuclear energy in providing reliable and sustainable energy, which aligns with the goal of ensuring access to affordable, reliable, sustainable, and modern energy for all.;Netherlands;National;Energy & Climate;;Mixed Methods Research;Literature review, Mathematical framework;;;;Netherlands;52.2434979;5.6343227;Country;Missing Research Question
Analysing the challenge of reconciling a prominent fossil fuel industry with climate mitigation policies: a discourse analysis in Alberta, Canada;Evelien Heida;2021;;James Patterson;Frank van Laerhoven;This research examines the influence of discourses on climate mitigation policies in Alberta, Canada, a province with a significant fossil fuel industry. The study aims to understand how different interpretations of climate change and sustainability shape policy outputs. Through a discourse analysis of 150 news articles, industry reports, and policy documents from 2014 to 2020, three main discourses were identified: business-as-usual, environmental, and green growth. The findings reveal that the green growth discourse primarily influenced policy outputs, while the business-as-usual discourse also played a role.;To what extent, and in what way, do discourses on climate mitigation influence the approaches to reconcile climate mitigation policies with fossil fuel dependencies in the province of Alberta, Canada?;13 - Climate Action;The research focuses on climate mitigation policies and the influence of fossil fuel industries, directly addressing the need for urgent action to combat climate change.;Alberta, Canada;Regional;Energy & Climate;;Qualitative Empirical Research;Discourse analysis;;;;Alberta;55.001251;-115.002136;Region;Abstract too short
Exploration of changes in nutrient availability in rewetted Dutch agricultural peat meadows by use of a mesocosm experiment;J. (Julia) M. van Doorninck;2021;;Prof. dr. M Wassen;A. (Annick) van der Laan, MSc;This research investigates the hydrochemical responses of rewetted agricultural peat meadows to understand nutrient availability. The aim is to unravel the influence of water table, water quality, and nutrient application on hydrochemical processes during rewetting. A full-factorial mesocosm experiment was conducted with various treatments to measure nutrient dynamics. Findings indicate increased phosphate and ammonium availability in rewetted peat soils, while external nutrient input had limited impact on nutrient availability within the soil pore water.;How does the combination of the water table, nutrient application and water quality impact the hydrochemical processes within rewetted agricultural peat meadows?;15 - Life on Land;This research addresses the restoration of peatlands, which are crucial for biodiversity and carbon storage, aligning with the goal of protecting, restoring, and promoting sustainable use of terrestrial ecosystems.;Netherlands;Local;Ecology & Biodiversity;Submerged drainage, Peat meadows, mesocosm, Hydrochemical processes, Nitrogen mineralization, Phosphate availability;Mixed Methods Research;Mesocosm experiment, Soil pore water sampling, ANOVA;;;;Zegveld;52.1164586;4.8359618;City;Abstract too short
Flexible electricity use in the cement industry: Laying the foundation for a not so concrete future;Martijn Rombouts;2021;Energy & Materials;Wina Crijns-Graus;Ernst Worrell;Limiting the global warming levels to 1.5 °C above pre-industrial levels will substantially reduce the effect of global warming on our everyday lives. Because greenhouse gasses are the main contributor to climate change, the EU aims to combat global warming by shifting towards carbon neutral industries in 2050. This thesis estimates the flexibility demand of a cement plant. The main research question this thesis aims to answer is: 'What is the technical and economic flexibility potential of a carbon neutral cement plant in 2050?' The flexibility potential of cement plants when using the four most likely decarbonization pathways were estimated. It was found that the electrification scenario has the lowest flexibility potential, but uses less electricity than the hydrogen scenario.;What is the technical and economic flexibility potential of a carbon neutral cement plant in 2050?;13 - Climate Action;This thesis addresses the need for carbon neutral industries and the flexibility of energy use in the cement sector, which is crucial for reducing greenhouse gas emissions and combating climate change.;Europe;Regional;Energy & Climate;Carbon neutral industries, Cement industry, Deep decarbonization, Demand response, Flexible industries, Linear programming, Scenario analysis;Mixed Methods Research;Scenario analysis, Linear programming;;;;;;;Broad;
The relation of non-energy benefits in a cost-benefit approach for residential energy efficiency measures for the city of Amsterdam 2030;Daniel Derksen;2021;Energy & Materials;Wina Crijns-Graus;Robert Harmsen;This research investigates the role of non-energy benefits in the cost-benefit analysis of energy efficiency measures for the residential sector in Amsterdam, aiming for a 55% reduction in emissions by 2030. The study combines a representative baseline of the housing stock with socioeconomic trends and investment costs to assess the cost-effective savings potential. Findings indicate that only 20.8% of emissions can be abated cost-effectively under current parameters, but this percentage increases for older buildings. The research highlights that quantifying non-energy benefits, such as health and comfort improvements, can significantly alter the cost-effectiveness of energy efficiency measures.;To what extent can the inclusion of non-energy benefits change the cost-benefit analysis of energy efficiency measures for the Amsterdam residential sector?;11 - Sustainable Cities and Communities;The research focuses on improving energy efficiency in residential buildings, which directly contributes to making cities more sustainable and resilient to climate change.;Amsterdam, Netherlands;Local;Energy & Climate;non-energy benefits, cost-benefit analysis, energy efficiency, residential sector, Amsterdam;Mixed Methods Research;Literature study, Marginal abatement cost curves, Sensitivity analysis, Scenario analysis;;;;Amsterdam;52.3730796;4.8924534;City;Abstract too short
BACK TO THE ROOTS Belowground nutrient acquisition strategies of herbaceous plants along an N:P gradient;Daniil Jesse Peter Scheifes;2021;Environmental Change and Ecosystems;Prof. Martin J. Wassen;Dr. Ir. Mariska te Beest;This thesis investigates belowground nutrient acquisition strategies of herbaceous plants along a nitrogen to phosphorus (N:P) gradient. The aim is to understand how these strategies vary among different plant species and communities. A combination of field sampling and statistical analysis was employed to assess species richness and belowground traits. The findings reveal significant variations in nutrient acquisition strategies, highlighting the importance of mycorrhizal traits and conservation gradients in shaping plant community dynamics.;How do belowground nutrient acquisition strategies of herbaceous plants vary along an N:P gradient?;15 - Life on Land;This research contributes to understanding plant diversity and ecosystem health, which are essential for sustainable land management and biodiversity conservation.;Utrecht;Local;Ecology & Biodiversity;;Qualitative Empirical Research;Field sampling, Statistical analysis;;;;Utrecht;52.0907006;5.1215634;City;Abstract too short
Bridging the gap between financial institutions and Product Service Systems to foster the Circular Economy transition in the Netherlands;Aline Ramírez Bañales;2021;;Ernst Worrell;Kei Otsuki;The historically high material consumption and natural resource extraction demands action to reverse the trend of an economy that creates value based on the linear model of take-make-waste at high and irreversible environmental costs. This thesis analyzes barriers to the financing of Product-as-a-Service (PaaS) as a circular business model with potential to mitigate environmental impact. Interviews with financiers and literature on relevant financial concepts are used to identify barriers such as financial risk triggers and regulatory bottlenecks. Solutions require intervention from banks, the Dutch government, and European institutions to materialize.;What are the barriers to financing Product-as-a-Service and how can they be overcome?;12 - Responsible Consumption and Production;The thesis addresses the need for sustainable business models that reduce material consumption and promote circularity, aligning with the goal of responsible consumption and production.;Netherlands;National;Circular Economy & Production;Circular Economy, Circular Economy Transition, Circular Business Model, Product as a Service, Product Service Systems, Lending Technologies, Innovation Finance;Qualitative Empirical Research;Interviews with financiers;;Sustainable Finance Lab (SFL);;Utrecht;52.0907006;5.1215634;City;Abstract too short
The Hidden Benefits of Energy efficiency Quantifying the Impact of Non-Energy Benefits When Energy Efficiency Measures Are Implemented in The EU Iron and Steel industry;Faisal Bin Abdulwahed;2021;Energy & Materials;Wina Crijns-Graus;;This thesis investigates the non-energy benefits (NEBs) associated with energy efficiency measures (EEMs) in the EU iron and steel industry. The aim is to quantify these additional benefits that are often overlooked. The research follows a three-step methodology: identification, quantification, and impact measurement of NEBs. The study analyzes the implementation of 20 new EEMs and their effects on fossil fuel savings, avoided air pollution, and health impacts. Findings indicate significant NEBs, including an estimated 25,000 avoidable deaths by 2050 through high recycling scenarios. The study highlights the need for better data collection and awareness of NEBs.;To what extent can including NEBs increase the attractiveness of energy efficiency measures in the Iron and steel sector in the EU and to what degree can they be quantified?;13 - Climate Action;The study addresses the urgent need for reducing CO2 emissions in the steel industry, which is a significant contributor to global climate change. By quantifying NEBs, it supports the transition to cleaner energy practices.;European Union;Regional;Energy & Climate;Non-Energy Benefits, Energy Efficiency Measures, Iron & Steel Industry, Best Available Technologies, Steel Recycling;Mixed Methods Research;Case study, Policy analysis;;;;European Union;42.6795963;23.3214829;Broad;Abstract too short
Deforestation and forest fragmentation in Southwestern Ethiopia from 1973 to 2019;Saskia Oostdijk;2021;Environmental Change and Ecosystems;Ine Dorresteijn, Britta Ricker;Ángeles Garcia mayor;This thesis investigates deforestation and forest fragmentation in Southwestern Ethiopia from 1973 to 2019. The aim is to analyze the impact of land use change on forest cover and connectivity. Utilizing remote sensing data, the study employs a combination of land cover classification and visual mapping techniques. The findings reveal significant forest loss and fragmentation, particularly in the Yayu Biosphere Reserve compared to surrounding areas, highlighting the need for improved conservation strategies.;What are the patterns and drivers of deforestation and forest fragmentation in Southwestern Ethiopia from 1973 to 2019?;15 - Life on Land;This SDG is relevant as the research focuses on forest cover and fragmentation, which directly impacts biodiversity and ecosystem health.;Southwestern Ethiopia;Local;Ecology & Biodiversity;deforestation, forest fragmentation, remote sensing, Yayu Biosphere Reserve, land use change;Mixed Methods Research;Land cover classification, visual mapping, remote sensing analysis;;;;Southwestern Ethiopia;12.0318833;39.0408845;Broad;Abstract too short
Living in a multispecies landscape: An exploration of sheep farmers’ perceptions and experiences of human-wolf coexistence in the Netherlands;Paul Happel;2021;;Kei Otsuki;;This research explores human-wolf coexistence in the Netherlands, focusing on sheep farmers' perceptions and experiences. The aim is to address the knowledge gap in effective governance of coexistence by employing a multispecies approach. Through in-depth semi-structured interviews with sheep farmers and provincial government officials, the study identifies challenges such as sheep depredation, lack of knowledge on adaptation, and governance ambiguities. Findings suggest that a multispecies perspective can enhance understanding and governance of coexistence, highlighting the need for future research to incorporate this approach.;How do sheep farmers perceive and experience human-wolf coexistence and how can a multispecies approach contribute to the understanding of coexistence and the governance thereof?;15 - Life on Land;This SDG applies as the research addresses the coexistence of humans and wildlife, specifically focusing on the governance of wolf populations and their impact on sheep farming.;Netherlands;Local;Ecology & Biodiversity;human-wolf coexistence, human-wildlife conflict, multispecies approach, multispeciesism, sheep farmers, wolves;Qualitative Empirical Research;Semi-structured interviews;;;;Netherlands;52.2434979;5.6343227;Country;Abstract too short
Evaluating the collaborative dynamics of governing Marine Protected Areas The case of the expansion of the Marine Protected Area of Cabrera, Mediterranean Sea;Paula Castillo Alonso;2021;Earth Systems Governance;Dries Hegger;Carel Dieperink;This thesis evaluates the collaborative dynamics involved in governing Marine Protected Areas (MPAs), focusing on the expansion of the Marine Protected Area of Cabrera in the Mediterranean Sea. The aim is to understand the interactions among stakeholders and the effectiveness of governance structures. A case study methodology is employed, utilizing interviews and thematic analysis to gather and analyze data. The findings reveal key factors that influence collaborative governance, including principled engagement, shared motivation, and capacity for joint action.;What are the collaborative dynamics that influence the governance of the Marine Protected Area of Cabrera?;14 - Life Below Water;The research addresses the governance of Marine Protected Areas, which is crucial for the conservation and sustainable use of marine resources, aligning with SDG 14.;Cabrera, Mediterranean Sea;Local;Governance & Policy;Marine Protected Areas, collaborative governance, Cabrera, Mediterranean Sea, stakeholder engagement;Qualitative Empirical Research;Interviews, Thematic analysis;;;;Cabrera;39.144444;2.930556;City;Abstract too short
We need to talk about inequality: A critical discourse analysis of UN member states’ positions on inequality since the introduction of the Sustainable Development Goals;Isa Mulder;2021;Earth Systems Governance;Frank Biermann;Carole-Anne Sénit;This research explores how UN member states have positioned themselves in the discourse on inequality since the introduction of the Sustainable Development Goals (SDGs). The aim is to analyze the positions taken by nations during the negotiations of SDG 10 and how these have evolved. A literature review establishes the context of global inequality dynamics, followed by an expert interview to gain insights into the discourse. A critical discourse analysis reveals that while inequality is increasingly mentioned, only a few nations consistently advocate for ambitious policies to combat it, highlighting a division between developed and developing nations.;How have UN member states’ positions on inequality, especially compared between the nations that strongly opposed or supported a goal on inequality, changed since the introduction of SDG 10: reducing inequality?;10 - Reduced Inequalities;SDG 10 is relevant as it aims to reduce inequality within and among countries, addressing the disparities that hinder development and social justice.;Global;Global/International;Social Justice & Equity;Sustainable Development Goals, inequality, discourse analysis, UN member states, economic inequality;Qualitative Empirical Research;Literature review, Expert interview, Critical discourse analysis;;;;;;;Broad;Abstract too short
Exploring the Anthropocene: Mapping land-system change until 2100 under the Shared Socio-economic Pathways;Willemien Ellen Irene van der Wielen;2021;Environmental Change and Ecosystems;Murray Scown;Britta Ricker;The effects of humans on the Earth are so profound, that it is argued that the Holocene has been substituted by the ‘Anthropocene’ era. Since it is likely that the global population, income, and food consumption will continue to increase, it is expected that the human-environmental interactions will do so too. This research explores how global land-systems change under diverging human-land interactions up to 2100 by mapping Anthromes under the Shared Socio-economic Pathways. Findings show that global composition of the Anthromes remains relatively stable for most scenarios, with increasing human impacts on land-systems, especially in Africa.;How do global land-systems change under diverging human-land interactions up to 2100?;11 - Sustainable Cities and Communities;This thesis emphasizes the importance of sustainable development in the context of increasing human impacts on land-systems and the Earth System.;Global;Global/International;Ecology & Biodiversity;Anthromes, Anthropocene, Earth System, Socio-economic Pathways, land-systems change;Mixed Methods Research;Scenario analysis, Anthromes method, Data analysis;;;;;;;Broad;Abstract too short
Bioenergy with Carbon Capture and Storage (BECCS) as an approach to achieve negative emissions in Europe;Diyary Hawez Ahmed;2021;Energy & Materials;Martin Junginger;;This thesis investigates the potential of Bioenergy with Carbon Capture and Storage (BECCS) to achieve negative emissions in Europe. The aim is to quantify biogenic Carbon Dioxide emissions from major ethanol and UBG plants and evaluate the techno-economic feasibility of sequestering these emissions. A mixed methods approach is employed, combining quantitative data analysis with qualitative assessments. The findings indicate that while BECCS presents a viable option for reducing emissions, significant economic and logistical challenges must be addressed to implement it effectively.;How feasible is the implementation of Bioenergy with Carbon Capture and Storage (BECCS) in Europe for achieving negative emissions?;13 - Climate Action;This research directly addresses the need for innovative solutions to combat climate change by exploring the feasibility of BECCS as a method for achieving negative emissions.;Europe;Regional;Energy & Climate;Bioenergy, Carbon Capture and Storage, Negative Emissions, Techno-economic feasibility, Carbon Dioxide;Mixed Methods Research;Data Collection, Cost calculation, Inventory analysis;Emission Trading System, Theory behind CCS chain;Heinrich Böll Foundation;;;;;Broad;Abstract too short
Forest Credits to Foster Reforestation in the Brazilian Atlantic Forest;Irene Ascenzi;2021;;Anna Duden;Vinzenz Koning;This research investigates the use of financial incentives to promote environmental restoration and conservation in the Brazilian Atlantic Forest. The aim is to explore how these incentive schemes can be designed to improve social conditions while fostering biodiversity. The methodology employed includes agent-based modeling to simulate various scenarios and assess the impact of different incentive structures. The findings suggest that carefully planned financial incentives can effectively target vulnerable populations and contribute to the restoration of native habitats.;How can financial incentive schemes be designed to effectively promote environmental restoration and conservation in the Brazilian Atlantic Forest while improving social conditions?;15 - Life on Land;This research aligns with SDG 15 as it focuses on promoting sustainable land use and restoring degraded ecosystems, particularly in the context of the Brazilian Atlantic Forest.;Brazil;Local;Ecology & Biodiversity;;Mixed Methods Research;Agent-based modeling;;;;Brazil;-10.3333333;-53.2;Country;Abstract too short
What is missing for ci/zens to engage in building resilient ci/es? A compara/ve assessment of Amsterdam and Valencia;Darien Gibbs Chumillas;2021;Earth Systems Governance;Dr Dries Hegger;Dr Hens Runhaar;Cities in Europe and the world are facing increasingly uncertain climate threats. This research seeks to address the knowledge gap in urban resilience by enhancing an existing framework with social resilience insights. A comparative case study of Amsterdam and Valencia evaluates their urban resilience capacities. Findings indicate that Amsterdam focuses on water management and adaptive planning, while Valencia emphasizes emission reductions. Various factors hampering resilience were identified, including low awareness and implementation gaps. The study highlights the importance of citizen engagement and the role of networks in enhancing urban governance strategies.;What factors hinder citizens from engaging in building resilient cities?;11 - Sustainable Cities and Communities;The research addresses urban resilience in the context of climate change, focusing on the role of citizens in creating sustainable urban environments.;Amsterdam, Valencia;Local;Urban & Regional Development;urban resilience, social resilience, climate change, Amsterdam, Valencia;Qualitative Empirical Research;Semi-structured interviews, Case study;Urban Resilience, Social Resilience;Centre for Global Challenges (UGlobe);;Amsterdam;52.3730796;4.8924534;City;Abstract too short
The effect of fire regimes on carbon sequestration and stabilization in South African grasslands;Victor Johannes Trouw;2021;Environmental Change and Ecosystems;Mariska te Beest;Angeles Garcia Mayor;This thesis investigates the impact of fire regimes on carbon sequestration and stabilization in South African grasslands. The research aims to understand how different fire treatments affect soil carbon storage and distribution. Using soil samples from an ongoing fire experiment, the study analyzes the changes in carbon pools resulting from various fire treatments. The findings indicate that while fires can increase total carbon storage, they also alter the distribution of carbon and enhance the accumulation of black carbon, leading to longer carbon residence times in soils. This research highlights the potential of fire as a management tool for carbon sequestration in grassland ecosystems.;To what extent does fire influence the labile, stable and pyrogenic soil carbon pools in South African grasslands?;13 - Climate Action;This research addresses climate change mitigation through understanding carbon sequestration processes in grasslands, which are significant carbon sinks.;South Africa;Local;Ecology & Biodiversity;carbon sequestration, fire regimes, South African grasslands, soil organic matter, black carbon;Mixed Methods Research;Statistical analysis, density fractionation, thermogravimetric analysis;;;;uKhahlamba-Drakensberg Park;-29.4147349;29.5573978;Broad;
Critical analysis of Circular Economy policies and discourses in different European Cities: Case study of Amsterdam and Glasgow;Katie Reid;2021;;Walter Vermeulen, Martin Calisto Friant;Giuseppe Feola;This thesis critically analyzes Circular Economy policies and discourses in Amsterdam and Glasgow. The aim is to understand how these cities conceptualize and implement Circular Economy principles. A comparative case study methodology is employed, utilizing document analysis and a policy-discourse framework. The findings reveal distinct approaches to Circular Economy, highlighting the challenges and opportunities faced by both cities in their transition towards sustainability.;How do Amsterdam and Glasgow conceptualize and implement Circular Economy policies and discourses?;12 - Responsible Consumption and Production;This SDG is relevant as the thesis focuses on Circular Economy policies, which aim to promote sustainable consumption and production patterns in urban settings.;Amsterdam, Glasgow;Local;Circular Economy & Production;Circular Economy, Policy Analysis, Amsterdam, Glasgow, Sustainability;Mixed Methods Research;Comparative case study analysis, Document analysis;;;;Amsterdam;52.3730796;4.8924534;City;Abstract too short
Exploration and Assessment of the Governance and Management of the Electrical and Electronic Waste Sector in Italy.;Doria Zabeo;2021;Earth Systems Governance;Walter Vermeulen;James Patterson;Electrical and electronic waste (e-waste) is one of the fastest-growing waste streams that is currently generated. This research aimed at comprehending the governance and organizational structure and the stakeholders’ dynamics in a system adopting the EPR approach. The thesis focused on the governance and management of e-waste and the EPR system, with a case study in Italy. The governance and organization of e-waste management were studied through a policy analysis, and the performances of e-waste collection were analyzed between 2005 and 2020. The analysis showed that Italy built a complex bureaucratic system to fulfill EPR responsibilities, but the performances did not meet the European target.;;12 - Responsible Consumption and Production;The research addresses the governance and management of e-waste, which is crucial for promoting sustainable consumption and production patterns.;Italy;National;Circular Economy & Production;;Literature-Based Research, Qualitative Empirical Research;Policy analysis, Stakeholder analysis;Extended Producer Responsibility;;;Italy;42.6384261;12.674297;Country;Missing Research Question
Electric vehicles in Iceland: improving the electricity grid to accommodate for EV growth by 2050;Anouk Zandbergen;2021;Energy & Materials;Wina Crijns-Graus;M. Gibescu;Currently, the transport sector is responsible for 21% of global CO2 emissions with road transport accounting for the majority. In order to achieve global climate goals, it is of paramount importance that the road transport sector is electrified. Consequently, the electrification of transport is a pillar in the Icelandic climate plans. Through the electrification of transport the Icelandic government aims to reduce GHG emissions, dependency on foreign oil imports, and make progress towards achieving carbon neutrality by 2040. In order to explore the impact of EVs on the Icelandic grid, three EV growth Scenarios were developed based on population projections and future vehicle ownership. It was found that in 2050, the electricity demand from EVs will increase the general electricity demand by 0.7 to 1.1 TWh depending on the Scenario, leading to a general electricity demand of 7.8 to 8.2 TWh compared to 5.2 TWh in the Reference Scenario.;;;;Iceland;Local;Energy & Climate;Electric vehicles, population projections, vehicle projections, electricity demand, grid reliability, security of electricity supply, V2G technology, micro-grid with DER, MCA, Iceland;Mixed Methods Research;Multi-criteria analysis;;;;Iceland;64.9841821;-18.1059013;Country;Missing Research Question, Missing SDG
Rewilding with red deer in Het Groene Woud Impact on woody recruitment and vegetation structure;Wobke van der Velde;2021;Environmental Change and Ecosystems;Joris Cromsigt, Mariska te Beest;Martin Wassen;In national landscape Het Groene Woud, red deer were reintroduced to enhance ecological value. This study aimed to measure woody recruitment and vegetation structure within the red deer enclosure and link these to deer area use. Using camera traps, GPS data, and field surveys of eighty plots, the research found that red deer preferred oak-hazel-alder forests and grasslands, influencing sapling growth but not significantly affecting bramble or woody structure. The findings contribute to understanding the effects of rewilding with large herbivores.;How do red deer influence woody recruitment and vegetation structure in Het Groene Woud?;15 - Life on Land;This study addresses the restoration of ecosystems and biodiversity through the reintroduction of species, which aligns with the goal of protecting, restoring, and promoting sustainable use of terrestrial ecosystems.;Het Groene Woud, Netherlands;Local;Ecology & Biodiversity;red deer, rewilding, woody recruitment, vegetation structure, ecological value;Qualitative Empirical Research, Quantitative Empirical Research;Camera traps, GPS data analysis, field survey, statistical analysis;;Ark Nature;;Het Groene Woud;51.4953658;3.6099006;Broad;Abstract too short
