Title;Author(s);Year;Master Track;Supervisor;Second reader;Abstract/Summary;Main Research Question;SDG;Justification for SDG;Geographical scope;Scale;Main sector;Keywords;Methodology Type;Specific Methods;Theories;Internship Organization;Organizations Studied;Geographical location standardized;Latitude;Longitude;Location precision;Flag
The associations between grazing, soil N:P stoichiometry and carbon pools in Hluhluwe-iMfolozi Park;Katharina Jüdt;2020;n/a;Joris Cromsigt;Mara Baudena;This thesis investigates the associations between grazing, soil N:P stoichiometry, and carbon pools in Hluhluwe-iMfolozi Park, South Africa. The aim is to analyze how grazing impacts soil organic carbon and nutrient dynamics. The methodology includes fieldwork for soil sample collection and laboratory analysis of soil properties. The findings reveal significant relationships between grazing intensity and soil carbon pools, highlighting the role of herbivores in ecosystem functioning and climate change mitigation.;n/a;15 - Life on Land;This research addresses the impact of grazing on biodiversity and soil health, contributing to the sustainable management of terrestrial ecosystems.;Hluhluwe-iMfolozi Park, South Africa;Local;Ecology & Biodiversity;n/a;Qualitative Empirical Research;Fieldwork, Laboratory analysis, Statistical analysis;n/a;Ezemvelo KwaZulu-Natal Wildlife;n/a;Hluhluwe-iMfolozi Park;-28.2163793;31.926889;Broad;Missing Research Question, Abstract too short
Anticipating the Heat USING SCENARIOS TO MAKE FUTURE CLIMATE CHANGE IMPACTS TANGIBLE;Bauke ten Brinke;2023;n/a;Udeke Huiskamp, Walter Vermeulen;Joost Vervoort;The TCFD-guidelines were created to support companies, investors and other financial service providers in better identifying and addressing climate-related risks and opportunities. They differ from current disclosure practices by addressing the impact of climate change on business rather than the impact of businesses on the climate. The aim of this research is to find the added value of scenario analysis to the TCFD-guidelines by developing, testing and disclosing a new practical method for this purpose. The developed method satisfies the requirements on the applicational level and generates decision useful information on the corporate level. This research shows the added value of scenario analysis in identifying climate-related risks and opportunities.;What is the added value of scenario analysis to the TCFD-guidelines?;13 - Climate Action;This research addresses climate-related risks and opportunities, aligning with the goal of taking urgent action to combat climate change and its impacts.;n/a;n/a;Governance & Policy;n/a;Literature-Based Research, Qualitative Empirical Research;Literature review, expert interviews, case study;n/a;Corbion;n/a;n/a;;;Broad;
Do-It-Yourself governance of food waste redistribution: A Comparative case study into the individual conditions for, and justice principles underlying the participation in citizen-led initiatives for food waste redistribution;Jana Surian;2022;Earth Systems Governance;Dr. Heleen Mees;n/a;Societal governance is shifting towards cooperative action. Do-It-Yourself governance refers to the increasing involvement of citizens in the production of public services. This case study research applies the framework by Mees to study the influence of individual conditions for participation, contextual variables, and justice principles underlying the participation of individuals in citizen-led initiatives for food waste redistribution. It was found that participation can be explained by group identification as the main motivational condition, combined with perceived ownership of the issue. Increased collaboration among different actors within food waste governance is essential to boost the potential of citizen-led initiatives.;n/a;12 - Responsible Consumption and Production;This SDG applies as the research focuses on reducing food waste and promoting sustainable practices through citizen-led initiatives.;n/a;Local;Circular Economy & Production;n/a;Qualitative Empirical Research;Case study, Interviews;n/a;n/a;n/a;n/a;;;Broad;Missing Research Question, Abstract too short
Environmental impact of banning plastic carrier bags in the city of Utrecht;Selma Fabiana de Leeuw;2020;n/a;Blanca Corona Bellostas;Ernst Worrell;This thesis investigates the environmental impact of banning plastic carrier bags in Utrecht. The aim is to assess the implications of such a ban on consumer behavior and the environment. A mixed methodology was employed, including field research and surveys, to gather data on bag usage and environmental effects. The findings indicate that banning plastic bags could significantly reduce littering and improve environmental quality in the city.;What is the environmental impact of banning plastic carrier bags in the city of Utrecht?;12 - Responsible Consumption and Production;This SDG is relevant as the thesis addresses the reduction of plastic waste and promotes sustainable consumption practices through the banning of plastic carrier bags.;Utrecht, Netherlands;Local;Circular Economy & Production;n/a;Mixed Methods Research;Field research, Survey, Statistics, Life cycle assessment;n/a;n/a;n/a;Utrecht;52.0907006;5.1215634;City;Abstract too short
(Science) Fiction Imaginaries and Policy;Alissa Kerklingh;2021;Earth Systems Governance;Joost Vervoort;Peter Pelzer;Modern-day democracies are investigating how to deal with long term problems that do not incentivize enough action in the present to prevent great problems in the future, like climate change. One possible solution could be that alternative, positive futures are to be collectively imagined, different from dystopian futures that can be painted by climate models or scientific predictions. This research aims to explore the extent to which (science) fiction can stimulate policymakers to think of alternative futures. Ten policymakers participated in this study, using science and climate fiction to create imaginaries of future worlds. Results revealed that most policymakers found that science and climate fiction stimulated them to think of alternative futures, although science fiction was not deemed the most useful tool for policy settings.;To what extent can (science) fiction stimulate policymakers to think of alternative futures?;13 - Climate Action;The research addresses the need for innovative approaches to climate change by exploring how cultural artefacts like science fiction can inspire policymakers to envision alternative futures.;n/a;Local;Governance & Policy;Futuring, Foresight, Anticipatory Governance, Imaginaries, Science Fiction, Climate Fiction, Policy;Qualitative Empirical Research;n/a;Cultural cognition theory, Cultivation theory;n/a;n/a;n/a;;;Broad;
Can Global Goals enhance integration on the national level? The transformative potential of the Sustainable Development Goals on the governance architecture in Germany;Jana Birner;2020;n/a;Frank Biermann;Basil Bornemann;With the agreement on the Sustainable Development Goals (SDGs) in 2015, states are assigned a key role in the implementation and ultimately in the achievement of an international aspirational agenda. The approach of 'governance through goals' challenges national governments to introduce changes in their institutional architecture targeted at strengthening its inherent capacity for an integrated implementation. This paper conducts a detailed country study with a mixed-methods approach to assess and explain the capacity of the SDGs to enhance integration through modified cooperation in the institutional framework of German sustainability governance. Overall, an increase in integration of the German sustainability governance architecture after 2015 is revealed, although there is no conclusive evidence for the SDGs to trigger a system-wide transformation process.;n/a;n/a;n/a;Germany;National;Governance & Policy;Sustainable Development Goals (SDGs), governance-through-goals, transformative potential, integration, institutional architecture, Germany;Mixed Methods Research;Quantitative analysis of press releases, Social network analysis, Semi-structured interviews;n/a;n/a;n/a;Germany;51.1638175;10.4478313;Country;Missing Research Question, Missing SDG
The effectiveness and legitimacy of climate action platforms: A comparative case study of local, regional and national platforms;Bianca de Souza Nagasawa;2020;Earth Systems Governance;Sander Chan;Agni Kalfagianni;This thesis investigates the effectiveness and legitimacy of climate action platforms at local, regional, and national levels. The aim is to understand how these platforms operate and their impact on climate governance. A comparative case study methodology is employed, analyzing various platforms across different countries. The findings reveal that while some platforms demonstrate significant catalytic impact, others struggle with legitimacy issues, highlighting the complexities of climate governance.;What are the effectiveness and legitimacy of climate action platforms at local, regional, and national levels?;13 - Climate Action;This research directly addresses climate action by evaluating the effectiveness and legitimacy of platforms that aim to combat climate change.;Global;Global/International;Governance & Policy;climate action, platforms, effectiveness, legitimacy, governance;Qualitative Empirical Research;Comparative case study;Orchestration, Transnational climate governance;"Earth System Governance
Academic";Fossilfritt Sverige, Comunidad #Por el Clima, We Are Still In, Japan Climate Initiative, Alianza para la Acción Climática del Área Metropolitana de Guadalajara, Vietnam Coalition for Climate Action, Climate Chance, ActionLAC;n/a;;;Broad;Abstract too short
Flexible Charging, Energy Storage and Smart Energy Management for Renewable Mobility in a City;Tim van der Himst;2020;n/a;Wilfried van Sark;Tarek AlSkaif;This thesis investigates the CleanMobilEnergy project in Arnhem, focusing on flexible charging, energy storage, and smart energy management systems to enhance renewable mobility. The aim is to analyze how these systems can reduce CO2 emissions, improve self-sufficiency for electric vehicles (EVs), and manage peak grid loads. A mixed integer linear programming model was developed to simulate various scenarios, revealing that the integration of flexible charging and battery energy storage significantly enhances EV self-sufficiency and reduces peak grid absorption. The findings indicate that optimizing energy management can lead to substantial environmental benefits.;To what extent can the CleanMobilEnergy project in Arnhem reduce CO emissions, provide self-sufficiency for electric vehicles and keep the peak grid load low?;11 - Sustainable Cities and Communities;The project aims to enhance urban mobility through renewable energy solutions, contributing to sustainable city development and reducing greenhouse gas emissions.;Arnhem, Netherlands;Local;Energy & Climate;CleanMobilEnergy, flexible charging, energy storage, smart energy management, renewable mobility;Mixed Methods Research;Modeling, Mixed Integer Linear Programming;n/a;Resourcefully;n/a;Arnhem;51.984257;5.9108573;City;Abstract too short
Painting With Forest Phenology: Developing a spatial computer model for testing options of phenology- and color-based tree planting;Florian Lerch;2020;Environmental Change and Ecosystems;Dr. Hugo de Boer;Dr. Pita Verweij;This thesis explores the intersection of forest phenology and tree planting strategies through the development of a spatial computer model. The aim is to investigate how phenology and color can be utilized to enhance biodiversity in afforestation projects. The methodology involves creating a cellular automata model to simulate tree growth and canopy structure over time. Key findings suggest that planting patterns based on native tree species can promote both aesthetic appeal and ecological stability, potentially offering a dual benefit of carbon sequestration and biodiversity enhancement.;What are the technical prerequisites to display different patterns using tree phenology?;15 - Life on Land;This research addresses the loss of biodiversity and aims to enhance species richness in forest ecosystems through innovative planting strategies.;Netherlands;Local;Ecology & Biodiversity;phenology, tree planting, biodiversity, spatial modeling, afforestation;Mixed Methods Research;Spatial modeling, literature review, data analysis;n/a;n/a;n/a;Netherlands;52.2434979;5.6343227;Country;Abstract too short
An analysis of the market potential for ocean renewable energy in industrial maritime sectors of Australia’s Blue Economy;Andréane Bellon de Chassy;2020;n/a;Wolfgang Eichhammer;n/a;The energy system in Australia is dominated by fossil fuels and is slowly adopting renewable energy sources for power generation. This research aims to identify the market potential for tidal and wave technology in three marine sectors within Australia’s Blue Economy. A mixed-methods approach is employed, including technical and economic potential analysis and interviews to propose solutions for policy and financial barriers. Preliminary results indicate high market opportunities for integrating ocean energy in Aquaculture and Ports, while the Oil & Gas sector shows low potential. The findings highlight the importance of innovation and interdisciplinary collaboration in advancing the sustainable energy transition in Australia.;What is the market potential for ocean renewable energy in the industrial maritime sectors of Australia’s Blue Economy?;7 - Affordable and Clean Energy;This SDG applies as the research focuses on promoting ocean renewable energy as a clean energy source to support sustainable development in Australia.;Australia;National;Energy & Climate;n/a;Mixed Methods Research;Technical, economic potential analysis, interviews;n/a;Australian Ocean Energy Group (AOEG);n/a;Australia;-24.7761086;134.755;Country;
Life Cycle Assessment of Pyrolysis Process of Plastic Waste at the Chemelot Site;Spela Ferjan;2020;n/a;Ernst Worrell, Toon van Harmelen;n/a;Plastic causes numerous issues due to its accumulation in the environment. In the Netherlands, 60% of all plastic is incinerated, which has a great impact on carbon dioxide emission and consequently on climate change. Chemical recycling represents a solution to seal the gap between incineration and mechanical recycling. A proposed chemical recycling option is pyrolysis of plastic waste. This study conducts a Life Cycle Assessment (LCA) to determine the global warming potential of 1 ton of mix plastic waste stream treated in the pyrolysis process. It was concluded that the whole pyrolysis of plastic waste emits 866 CO2 eq. by pyrolyzing only 28% of the waste stream. Scenario analysis showed that additional mechanical recycling significantly reduces the current emissions.;n/a;12 - Responsible Consumption and Production;The study addresses the issue of plastic waste management and the potential of chemical recycling through pyrolysis, contributing to sustainable consumption and production patterns.;Netherlands;Local;Circular Economy & Production;n/a;Literature-Based Research, Qualitative Empirical Research;Life Cycle Assessment, Scenario analysis;n/a;TNO;n/a;n/a;;;Broad;Missing Research Question
Developing a Bottom-Up Methodology to Project Electricity Demand for Productive Uses in sub-Saharan Africa in 2030 in IMAGE;Su-Min Choi;2020;Energy & Materials;Gert Jan Kramer;Andries Hof;This thesis explores the development of a bottom-up methodology to project electricity demand for productive uses in sub-Saharan Africa by 2030. The aim is to provide a framework that can accurately estimate future electricity needs for micro, small, and medium enterprises (MSMEs) in the region. The methodology involves a comprehensive literature review, data analysis, and modeling using the IMAGE-TIMER framework. The findings indicate significant variations in electricity demand across different sectors and highlight the importance of tailored energy solutions for MSMEs.;How can a bottom-up methodology be developed to project electricity demand for productive uses in sub-Saharan Africa in 2030?;7 - Affordable and Clean Energy;This SDG is relevant as the research focuses on projecting electricity demand to enhance access to energy for productive uses, which is crucial for economic development in sub-Saharan Africa.;sub-Saharan Africa;Regional;Energy & Climate;Electricity demand, sub-Saharan Africa, productive uses, bottom-up methodology, IMAGE-TIMER;Literature-Based Research, Qualitative Empirical Research;Literature Review, Data analysis, Modelling;n/a;Netherlands Environmental Assessment Agency PBL;n/a;n/a;;;Broad;Abstract too short
n/a;Robert Gladh;2020;n/a;Dries Hegger;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Qualitative Empirical Research;n/a;n/a;WSP;n/a;n/a;;;n/a;Missing Title, Missing Research Question, Missing SDG, Abstract too short
Paludiculture or paludifuture? Environmental and economic analysis of cattail-based insulation material from paludiculture in The Netherlands;Marle de Jong;2020;n/a;Martin Junginger;n/a;Dutch peatlands have a long drainage history to facilitate agriculture, leading to relatively high greenhouse gasses (GHGs). Paludiculture, defined as cultivation on wet and rewetted peatlands, is often seen as a viable climate warming mitigation option to reduce GHGs and counteract land subsidence of peatlands, while at the same time providing a profitable agricultural business. The paludicrop cattail can be used for e.g. insulation material. The aim of this research is to give insight in the optimisation of 1 hectare agricultural Dutch peatland, from a climate and economic perspective. Two combined systems are compared, with the peatland provisioning either dairy or insulation material. This is done by performing a consequential one-factor lifecycle assessment (GHGs) and a cost-benefit analysis combined with carbon credits. It can be concluded that, from a climate’s perspective, the switch towards cattail-focussed paludiculture is accompanied with a high GWP-reduction potential.;What is the potential of paludiculture-produced bio-insulation material from cattail from a climate and economic point of view?;13 - Climate Action;This research addresses the reduction of greenhouse gas emissions from peatlands, which is crucial for climate change mitigation.;Netherlands;Local;Circular Economy & Production;peatland restoration, paludiculture, carbon mitigation, bio-based insulation, cattail, peatland economics;Literature-Based Research, Qualitative Empirical Research;Life cycle assessment, Cost-benefit analysis;n/a;Over Morgen;n/a;n/a;;;Broad;
How can scenarios be used to open public discourse about the possibility of different futures?;n/a;n/a;n/a;n/a;n/a;This thesis explores the role of public scenarios in facilitating transformational change. The objective is to understand how scenarios can be designed to enhance public engagement and discourse. A mixed methods approach is employed, combining qualitative and quantitative data collection techniques. The findings indicate that well-designed scenarios can significantly contribute to public discourse by involving diverse stakeholders and fostering engagement through various platforms.;How can scenarios be used to open public discourse about the possibility of different futures?;n/a;n/a;Guyana;n/a;n/a;n/a;Mixed Methods Research;Interviews, Surveys;Multi-Level Perspective;n/a;n/a;Guyana;4.8417097;-58.6416891;Country;Missing SDG, Missing Supervisor, Abstract too short
IDENTIFYING THE SOURCES OF NITRATE IN SURFACE AND GROUND WATERS USING STABLE ISOTOPES: A GLOBAL OVERVIEW;A.J Noctor;n/a;n/a;Dr Jaivime Evaristo;n/a;Nitrate pollution of freshwater systems is a pressing issue that affects nearly every region of the globe. Excessive levels of nitrate in surface and groundwater environments can cause severe impacts to human and ecosystem health. To effectively mitigate the adverse effects of nitrate pollution, the sources of nitrate to systems must be identified. This thesis aimed to provide a global synthesis of nitrate pollution in surface and groundwater to understand better how nitrate pollution varies spatially around the world with different climates and land uses. A stable isotope mixing model was used to determine the sources of nitrate in surface and groundwaters around the world. The analysis found that nitrate concentrations and isotopic compositions vary significantly between several groups of climate and land use.;n/a;n/a;n/a;Global;Global/International;Water Quality Management;Nitrate Pollution, Dual Isotopes, Surface and Groundwater, Development, Water Quality;Literature-Based Research, Quantitative Empirical Research;Statistical analysis, Stable isotope mixing model;n/a;n/a;n/a;n/a;;;Broad;Missing Research Question, Missing SDG
Indian Garment Workers and the Struggles for Decent Work: An Analysis on Workers’ Agency & Embedded Power Structures;Camilla Morandi;2020;International Development;Ajay Bailey;n/a;This thesis explores the struggles of Indian garment workers for decent work, focusing on their agency and the embedded power structures within the industry. The aim is to analyze how workers navigate their circumstances and the challenges they face. A systematic literature review and fieldwork were conducted to gather data on working conditions, gender discrimination, and wage issues. The findings reveal significant insights into the informal garment production landscape and the impact of fast fashion on workers' lives.;How do Indian garment workers exercise their agency within the embedded power structures of the garment industry?;8 - Decent Work and Economic Growth;This SDG applies as the research focuses on the working conditions and agency of garment workers, highlighting the need for decent work opportunities.;India;Local;Social Justice & Equity;n/a;Literature-Based Research, Qualitative Empirical Research;Systematic literature review, Fieldwork;Development theories, Structure - agency, Intersectionality;n/a;n/a;India;22.3511148;78.6677428;Country;Abstract too short
The environmental impact of cycling 1,600 MWh electricity A Life Cycle Assessment of a lithium-ion battery from Greener Power Solutions;Friso Klemann;2020;Energy & Materials;Prof. dr. Madeleine Gibescu;Dr. Li Shen;This thesis investigates the environmental impacts of a 330 kWh lithium-ion battery from Greener Power Solutions compared to a Diesel generator set. The aim is to provide a transparent inventory of both technologies using a Life Cycle Assessment (LCA) method. The study finds that the Greener battery has a Global Warming Potential of 53.3% of the Diesel generator's total CO2 emissions, and Fine Particulate Matter Formation is 27.5% of the Diesel generator's emissions. The research emphasizes the importance of charging the battery with renewable energy to mitigate climate change.;What is the environmental impact of a 330 kWh, 285 kW Greener Power Solutions battery compared to a Diesel generator set from Aggreko concerning production, use, and end-of-life phase?;13 - Climate Action;The research aims to mitigate climate change by analyzing the potential of energy storage systems to reduce greenhouse gas emissions compared to fossil fuel technologies.;Netherlands;Local;Energy & Climate;Life Cycle Assessment, lithium-ion battery, environmental impact, Greener Power Solutions, Diesel generator;Literature-Based Research, Qualitative Empirical Research;Life Cycle Assessment;n/a;University;Greener Power Solutions, Aggreko;Amsterdam;52.3730796;4.8924534;City;Abstract too short
Policy coherence and imaginaries in Colombian rural development;Francisco Javier Osuna Garrido;2023;Earth Systems Governance;Giuseppe Feola;Marjanneke Vijge;This thesis examines the relationship between policy coherence and development imaginaries in Colombian rural development (CRD). The aim is to analyze how different policies interact and affect each other, often leading to counterproductive outcomes. A qualitative document analysis was conducted to assess internal and horizontal policy coherence, while a discourse analysis was employed to uncover development imaginaries. The findings reveal a significant relationship between these two variables, suggesting that internal incoherence in CRD policies stems from a dominant incoherent development imaginary. The study concludes that improving policy coherence requires addressing these individual-level incoherences.;How do policy coherence and development imaginaries interact in Colombian rural development?;15 - Life on Land;This SDG applies as the thesis focuses on rural development policies that impact land use and ecological sustainability in Colombia.;Colombia;National;Governance & Policy;COLOMBIAN RURAL DEVELOPMENT, POLICY INCOHERENCE, DEVELOPMENT IMAGINARIES.;Qualitative Empirical Research;Qualitative document analysis, Discourse analysis, Content analysis;Ecological economics;n/a;n/a;Colombia;4.099917;-72.9088133;Country;Abstract too short
An intercomparison of nutrient concentrations in surface water in agricultural and natural reserve peatlands in the Netherlands and pristine Scandinavian peatlands.;Alex Nap;2020;Environmental Change and Ecosystems;Jasper Griffioen, Mariëlle van Vliet;n/a;This study investigates the nutrient concentrations of nitrogen and phosphorus in surface water across agricultural and natural reserve peatlands in the Netherlands, as well as pristine peatlands in Scandinavia. The aim is to fill the knowledge gap regarding the variability of these concentrations and their implications for ecological status. A comparative analysis was conducted using data from various monitoring locations, revealing that nitrogen levels are lower in Dutch peatlands with a history of conservation, while phosphorus levels are higher in recently designated natural reserves. The findings highlight the influence of historical land use and management practices on nutrient concentrations.;What is the variability in nitrogen and phosphorus concentrations in surface water between agricultural peatlands and natural reserve peatlands in the Netherlands, and how do these compare to pristine peatlands in Scandinavia?;15 - Life on Land;This research addresses the ecological health of peatlands, which are critical for biodiversity and ecosystem services, aligning with the goal of protecting, restoring, and promoting sustainable use of terrestrial ecosystems.;Netherlands, Scandinavia;Regional;Ecology & Biodiversity;Nutrient concentrations, nitrogen, phosphorus, peat, Netherlands, Scandinavia, agricultural peatland, natural reserve peatland, background concentration;Mixed Methods Research;Cluster analysis, robust factor analysis, median, percentile calculation, Kruskal-Wallis test, Wilcoxon rank sum tests;n/a;TNO;n/a;Netherlands;52.2434979;5.6343227;Country;Abstract too short
AWARDS TO ENABLE CATALYTIC IMPACT? Analysing the Value of UNFCCC’s Momentum for Change Initiative for Strengthening Non-State Climate Actions;Aron Teunissen;2020;Earth Systems Governance;Dr. Sander Chan;Dr. Rakhyun Kim;This thesis investigates the value of the UNFCCC’s Momentum for Change (MfC) initiative in strengthening non-state climate actions' catalytic impact. The aim is to identify drivers and barriers for catalytic impact and assess how these are addressed by the MfC awarding mechanism. Through a literature review and an online survey of Lighthouse Activities, the study reveals a range of drivers and barriers, with reputation being a key driver strengthened by the award. The findings indicate that while the MfC award enhances recognition, its effectiveness in addressing specific drivers and barriers is contingent on individual initiatives' circumstances.;What drivers and barriers for catalytic impact are present, and to what extent are they addressed by the UNFCCC’s Momentum for Change awarding mechanisms?;13 - Climate Action;The thesis focuses on enhancing non-state climate actions, which directly contributes to climate change governance and the achievement of climate action goals.;Global;Global/International;Governance & Policy;Momentum for Change, non-state climate actions, catalytic impact, UNFCCC, Lighthouse Activities;Literature-Based Research, Qualitative Empirical Research;Literature review, Online survey, Expert interviews;Polycentric Governance;Global Center on Adaptation;n/a;n/a;;;Broad;Abstract too short
Monitoring innovation progress of clean energy technologies;Anna Kralli;2020;Energy & Materials;Dr Robert Harmsen;n/a;This thesis investigates the progress of innovation in clean energy technologies. The aim is to assess the effectiveness of various indicators in measuring innovation. The research employs a combination of patent and bibliometric analysis to evaluate innovation trends over time and across different countries. The findings reveal significant variations in innovation performance, highlighting the importance of selecting appropriate measurement tools for accurate assessment.;n/a;n/a;n/a;n/a;n/a;Energy & Climate;n/a;Literature-Based Research;n/a;n/a;Trinomics B.V.;n/a;n/a;;;Broad;Missing Research Question, Missing SDG, Abstract too short
Hybrid Floating Wind and Solar Plants for Small Island States and Remote Communities: Synergy or Wishful Thinking? An Exploratory Study on the Maltese Islands;Stephanie Bugeja;2020;Energy & Materials;Dr. Ing. Wina Crijns-Graus;Prof. dr. Madeleine Gibescu;This research investigates whether offshore floating hybrid wind and solar plants can provide a solution for electrifying Small Island States (SISs) and Remote Communities (RCs) in an environmentally-friendly and affordable manner. The study aims to confirm or dismiss hypotheses regarding cost synergies, reliability synergies, and environmental synergies of Hybrid Energy Systems (HESs) compared to separate systems. Using the Maltese Islands as a case study, the findings address the research question: 'To what extent can Small Island States such as Malta and Remote Communities benefit from hybrid floating wind and solar energy systems and how would an optimal hybrid system in Malta look like?';To what extent can Small Island States such as Malta and Remote Communities benefit from hybrid floating wind and solar energy systems and how would an optimal hybrid system in Malta look like?;7 - Affordable and Clean Energy;This research aligns with SDG 7 as it explores innovative energy solutions to enhance energy access and sustainability for Small Island States and Remote Communities, which are often reliant on fossil fuels.;Malta;Local;Energy & Climate;Hybrid Energy Systems, Floating Solar, Offshore Wind, Small Island States, Renewable Energy;Literature-Based Research, Qualitative Empirical Research;Stakeholder interviews, Literature review, Energy system simulations using the Hybrid Optimization Model for Electric Renewables (HOMER);n/a;Institute for Sustainable Energy;Enemalta plc.;Malta;35.9311442;14.3951627;Country;
Gas in European decarbonisation pathways: future infrastructure challenges;Ines Bouacida;2020;Energy & Materials;Wolfgang Eichhammer, Nicolas Berghmans;n/a;The European Union’s target to reach net-carbon neutrality by 2050 calls for deep changes to energy supply, including a sharp decrease in the consumption of natural gas. This master’s thesis evaluates the impact of carbon neutrality on the gas system, taking France and Germany as two case studies. It first identifies the gas trajectory in French and German decarbonisation scenarios, then explores the consequences of carbon neutrality on gas infrastructure and estimates the changes in methane price due to the increase in methane production cost and the decreased use of existing methane infrastructure. Our results show that gas supply and demand will radically change by mid-century, with biomethane, synthetic methane and hydrogen emerging as major energy carriers and input to industrial processes at the expense of natural gas.;n/a;n/a;n/a;France, Germany;Regional;Energy & Climate;n/a;Mixed Methods Research;Cost analysis, Scenario analysis;n/a;IDDRI;n/a;France;46.603354;1.8883335;Country;Missing Research Question, Missing SDG
Paving the way towards Urban Green Infrastructure policy maintenance: The case of Sheffield, England;Charra Maria Avggoustattou;2023;Earth Systems Governance;Dr. James Patterson;n/a;This research investigates the maintenance of Urban Green Infrastructure (UGI) policies, focusing on the case of Sheffield, England. The aim is to understand the factors influencing the functionality of UGI policies and their long-term sustainability. A qualitative methodology was employed, involving interviews with implementation agencies and local networks. The findings reveal key mechanisms that support or disturb UGI policy maintenance, highlighting the importance of local governance and community engagement in ensuring the effectiveness of UGI initiatives.;Which factors disturb the functionality of the policy and which factors support the functionality of the policy?;11 - Sustainable Cities and Communities;The research addresses urban climate resilience and the maintenance of green spaces, which are essential for sustainable urban development and community well-being.;Sheffield, England;Local;Urban & Regional Development;Urban Green Infrastructure, policy maintenance, Sheffield, climate resilience, local governance;Qualitative Empirical Research;Semi-structured interviews;n/a;n/a;Sheffield City Council, Peak District Authority, Sheffield Wildlife Trust, Green Estate Ltd;Sheffield;53.3806626;-1.4702278;City;Abstract too short
Determinants of the distribution of plant-functional traits Relationships with climate and fire across spatial gradients in Australia;Samuel. A. Tofts;2020;Environmental Change and Ecosystems;Mara Baudena;n/a;Fire-prone ecosystems are comprised of vegetation with a range of functional traits that confer persistence post-disturbance. This study aims to identify the relationships between resprouters and abiotic variables by analyzing vegetation data collected from plots in four areas of Australia using generalized linear models. The results indicate that relative resprouter richness is influenced by increasing mean annual rainfall and decreasing average fire interval. Additionally, mean annual rainfall and rainfall seasonality play a role in determining the prevalence of various resprouting functional traits. These quantified relationships provide insights into vegetation dynamics and fire regimes for future modeling studies.;What are the main determinants of the prevalence of resprouting taxa within plant communities?;15 - Life on Land;This research addresses the dynamics of vegetation in fire-prone ecosystems, contributing to the understanding of biodiversity and ecosystem resilience, which aligns with the goal of protecting, restoring, and promoting sustainable use of terrestrial ecosystems.;Australia;Local;Ecology & Biodiversity;n/a;Quantitative Empirical Research;Generalized linear models;n/a;n/a;n/a;Australia;-24.7761086;134.755;Broad;Abstract too short
Social Factors Drive Sloth Bear Conflict In Gujarat;Jeffrey Ketting;2023;Environmental Change and Ecosystems;Ine Dorresteijn;n/a;Human-wildlife conflict (HWC) is a major and increasing problem around the globe, heavily impacting livelihoods and leading to injury and loss of life of both humans and wildlife. Effective measures are urgently needed to facilitate a sustainable state of coexistence, but are hindered by its high complexity and interdisciplinary nature. This study aimed to increase our understanding of human-sloth bear interactions in Gujarat and HWC and coexistence in general, using an integrative interdisciplinary approach that includes both quantitative and qualitative analyses. Importantly, this study showed sloth bear occurrence to be limited by forest cover and anthropogenic influences, but to not be related to perceptions of conflict and coexistence.;n/a;15 - Life on Land;This SDG applies as the study addresses human-wildlife conflict and the need for sustainable coexistence with wildlife, specifically sloth bears, in Gujarat.;Gujarat, India;Local;Ecology & Biodiversity;human-wildlife coexistence, wildlife conflicts, social-ecological systems, interdisciplinary research, Melursus ursinus, India;Mixed Methods Research;Socio-Ecological modelling, Questionnaire survey, Q-methodology;n/a;n/a;n/a;Gujarat;22.3850051;71.745261;Broad;Missing Research Question
Compensating for our emissions: Agroecological carbon farming as a voluntary offset method A potential multi-beneficial solution that sequesters carbon while increasing biodiversity?;Daan van de Kamp;2023;International Development;Dr. Kei Otsuki;Dr. Murtah Shannon;This master thesis examines the interconnection between agroecological carbon farming and the voluntary carbon offset market. It aims to determine the suitability of agroecological carbon farming as a voluntary offset method. The research includes a case study on the Dutch voluntary carbon market and an extensive literature review. Findings indicate that agroecological carbon farming has significant ecological and socio-economic benefits, enhancing soil quality and biodiversity. However, challenges such as the need for standardized monitoring tools and the long implementation time for perennial cropping systems hinder its adoption as a certified offset method.;To what extent is agroecological carbon farming suitable as a voluntary carbon offset method?;13 - Climate Action;Agroecological carbon farming contributes to climate action by sequestering carbon and enhancing biodiversity, addressing the urgent need for sustainable agricultural practices in the face of climate change.;Netherlands;Local;Ecology & Biodiversity;Agroecology, carbon farming, carbon sequestration, voluntary carbon offsetting, biodiversity, carbon cycle;Literature-Based Research, Qualitative Empirical Research;Case study, Desk research, Interviews;n/a;n/a;KLM, Shell, Treesforall;Netherlands;52.2434979;5.6343227;Country;Abstract too short
